user_id,date,revenue,reward_to_user
USR_001,2024-01-02,15.99,0.00032
USR_001,2024-01-03,9.99,0.0002
USR_001,2024-01-05,24.99,0.0005
USR_001,2024-01-08,19.99,0.0004
USR_001,2024-01-12,29.99,0.0006
USR_001,2024-01-15,12.99,0.00026
USR_001,2024-01-18,39.99,0.0008
USR_001,2024-01-22,17.99,0.00036
USR_001,2024-01-25,49.99,0.001
USR_001,2024-01-28,22.99,0.00046
USR_002,2024-01-03,8.99,0.00018
USR_002,2024-01-06,14.99,0.0003
USR_002,2024-01-10,19.99,0.0004
USR_002,2024-01-14,11.99,0.00024
USR_002,2024-01-18,34.99,0.0007
USR_002,2024-01-23,16.99,0.00034
USR_002,2024-01-27,27.99,0.00056
USR_002,2024-01-30,13.99,0.00028
USR_003,2024-01-04,12.99,0.00026
USR_003,2024-01-07,18.99,0.00038
USR_003,2024-01-11,25.99,0.00052
USR_003,2024-01-16,21.99,0.00044
USR_003,2024-01-20,33.99,0.00068
USR_003,2024-01-24,15.99,0.00032
USR_003,2024-01-29,42.99,0.00086
USR_004,2024-01-05,22.99,0.00046
USR_004,2024-01-09,17.99,0.00036
USR_004,2024-01-13,31.99,0.00064
USR_004,2024-01-17,26.99,0.00054
USR_004,2024-01-21,38.99,0.00078
USR_004,2024-01-26,19.99,0.0004
USR_004,2024-01-31,45.99,0.00092
USR_005,2024-01-06,11.99,0.00024
USR_005,2024-01-10,16.99,0.00034
USR_005,2024-01-14,23.99,0.00048
USR_005,2024-01-19,28.99,0.00058
USR_005,2024-01-23,35.99,0.00072
USR_005,2024-01-28,14.99,0.0003
USR_006,2024-01-07,20.99,0.00042
USR_006,2024-01-12,25.99,0.00052
USR_006,2024-01-16,32.99,0.00066
USR_006,2024-01-21,18.99,0.00038
USR_006,2024-01-26,41.99,0.00084
USR_006,2024-01-30,27.99,0.00056
USR_007,2024-01-08,13.99,0.00028
USR_007,2024-01-13,19.99,0.0004
USR_007,2024-01-18,24.99,0.0005
USR_007,2024-01-22,30.99,0.00062
USR_007,2024-01-27,37.99,0.00076
USR_008,2024-01-09,17.99,0.00036
USR_008,2024-01-14,22.99,0.00046
USR_008,2024-01-19,29.99,0.0006
USR_008,2024-01-24,34.99,0.0007
USR_008,2024-01-29,43.99,0.00088
USR_009,2024-01-10,21.99,0.00044
